CrashId,Latitude,Longitude,Date Of Crash,Crash Severity,Most Severe Injury,Route Class,Route Class Text Format,Roadway Name,corridor,corridor-section
681452,41.731575,-72.744502,2020-05-18,A,B,3,State,71-N,New Britain Ave,New Britain Ave
681454,41.723932,-72.735016,2020-05-20,O,O,3,State,173-N,Newington Rd,Newington Rd
684292,41.73167,-72.74337,2020-05-20,O,O,3,State,173-N,New Britain Ave,New Britain Ave
684295,41.731759,-72.730623,2020-05-22,A,C,3,State,173-N,Newington Rd,Newington Rd
684296,41.805074,-72.750801,2020-05-23,O,O,3,State,218-E,Main St,North Main 2
684243,41.722468,-72.76052,2020-05-26,O,O,3,State,71-N,New Britain Ave,New Britain Ave
688774,41.80461,-72.72786,2020-05-29,A,C,3,State,189-N,Bloomfield Ave,Bloomfield Ave
692180,41.732733,-72.733832,2020-06-01,O,O,3,State,173-N,New Britain Ave,New Britain Ave
685404,41.732612,-72.731518,2020-06-03,O,O,3,State,173-N,New Britain Ave,New Britain Ave
685812,41.72994,-72.73172,2020-06-03,O,O,3,State,173-N,Newington Rd,Newington Rd
685813,41.726367,-72.758937,2020-06-03,O,O,3,State,71-N,New Britain Ave,New Britain Ave
689196,41.73646,-72.74309,2020-06-10,A,C,3,State,173-S,Main St,South Main 1
689659,41.72718,-72.75734,2020-06-10,O,O,3,State,71-S,New Britain Ave,New Britain Ave
689628,41.73167,-72.74337,2020-06-16,O,O,3,State,173-N,New Britain Ave,New Britain Ave
692183,41.732828,-72.732727,2020-06-18,O,O,3,State,173-N,New Britain Ave,New Britain Ave
692249,41.80173,-72.725435,2020-06-19,O,O,3,State,189-N,Bloomfield Ave,Bloomfield Ave
694816,41.73167,-72.74337,2020-06-19,O,O,3,State,173-N,New Britain Ave,New Britain Ave
693399,41.72706989,-72.75739998,2020-06-22,O,O,3,State,71-S,New Britain Ave,New Britain Ave
693548,41.730412,-72.719671,2020-06-22,O,O,3,State,529-E,New Britain Ave,New Britain Ave
693818,41.726537,-72.733606,2020-06-26,A,B,3,State,173-N,Newington Rd,Newington Rd
698902,41.795562,-72.719075,2020-06-26,O,O,3,State,189-N,Bloomfield Ave,Bloomfield Ave
693821,41.73289,-72.734121,2020-06-29,O,O,3,State,173-N,New Britain Ave,New Britain Ave
694302,41.73241,-72.73654,2020-06-30,A,C,3,State,173-N,New Britain Ave,New Britain Ave
699492,41.730107,-72.722413,2020-07-07,O,O,3,State,529-E,New Britain Ave,New Britain Ave
702994,41.78777,-72.7479,2020-07-11,O,O,3,State,218-E,Main St,North Main 2
699872,41.725068,-72.734353,2020-07-13,O,O,3,State,173-N,Newington Rd,Newington Rd
699919,41.7331,-72.743291,2020-07-16,A,C,3,State,173-N,Main St,South Main 1
701464,41.72394,-72.76037,2020-07-17,O,,3,State,71-S,New Britain Ave,New Britain Ave
701479,41.725657,-72.734112,2020-07-20,O,O,3,State,173-N,Newington Rd,Newington Rd
702935,41.73216,-72.73049,2020-07-22,A,C,3,State,529-E,New Britain Ave,New Britain Ave
707663,41.723174,-72.735461,2020-07-22,O,O,3,State,173-N,Newington Rd,Newington Rd
707515,41.73084,-72.71753,2020-07-24,A,B,3,State,529-E,New Britain Ave,New Britain Ave
702977,41.73167,-72.74337,2020-07-25,O,O,3,State,173-N,New Britain Ave,New Britain Ave
703206,41.73104,-72.72744,2020-07-25,O,O,3,State,529-E,New Britain Ave,New Britain Ave
