CrashId,Latitude,Longitude,Town Name,Date Of Crash,Crash Severity,Most Severe Injury,Route Class,Route Class Text Format,Road Number,Road Description,Roadway Name,Intersecting Roadway Name,Landmark Description,corridor
623640,41.76706,-72.74646,West Hartford,12/5/19,O,O,4,Local,67,BRUNSWICK AV,BRUNSWICK AV,KEENEY AV,,
623602,41.7804,-72.74633,West Hartford,12/5/19,A,B,4,Local,347,NORTH MAIN ST,NORTH MAIN ST,MOUNTAIN VIEW DR,,North Main from Center
625514,41.783379,-72.746684,West Hartford,12/6/19,A,C,4,Local,347,NORTH MAIN ST,NORTH MAIN ST,HAYNES RD NO 1,,North Main from Center
624380,41.765281,-72.720653,West Hartford,12/6/19,O,O,4,Local,169,FARMINGTON AV,FARMINGTON AV,,Lexington Road,Farmington Ave
624379,41.739154,-72.73198,West Hartford,12/6/19,O,O,4,Local,501,TROUT BROOK DR,TROUT BROOK DR,,Carol Road,Trout Brook south
624378,41.75622,-72.74377,West Hartford,12/6/19,O,O,4,Local,460,SOUTH MAIN ST NO 2,SOUTH MAIN ST NO 2,BOULEVARD,,South Main to NB
624377,41.73714,-72.72102,West Hartford,12/6/19,O,O,4,Local,486,TALCOTT RD,TALCOTT RD,NEW PARK AVE,,New Park Ave
628051,41.761641,-72.743092,West Hartford,12/7/19,O,O,4,Local,169,FARMINGTON AV,FARMINGTON AV,,South Main Street,Farmington Ave
625894,41.73121,-72.75253,West Hartford,12/8/19,O,O,4,Local,32,BERKSHIRE RD,BERKSHIRE RD,,New Britain Avenue,
625188,41.76263,-72.74357,West Hartford,12/8/19,O,O,4,Local,43,BRACE RD,BRACE RD,,Arundel Ave,
626640,41.77719,-72.714,West Hartford,12/9/19,A,C,4,Local,394,PROSPECT AV,PROSPECT AV,ASYLUM AV,,Prospect Ave
626332,41.784516,-72.746817,West Hartford,12/9/19,O,O,4,Local,347,NORTH MAIN ST,NORTH MAIN ST,,Albany Ave.,North Main from Center
625995,41.76191,-72.747266,West Hartford,12/9/19,O,O,4,Local,518,WALDEN ST,WALDEN ST,BRACE RD,,
