CrashId,Latitude,Longitude,Town Name,Date Of Crash,Crash Severity,Most Severe Injury,Route Class,Route Class Text Format,Road Number,Road Description,Roadway Name,Intersecting Roadway Name,Landmark Description
512000,41.742826,-72.759191,West Hartford,1/31/19,O,O,4,Local,411,RIDGEWOOD RD,RIDGEWOOD RD,,Foxridge Road
513820,41.730433,-72.74583,West Hartford,2/1/19,O,O,4,Local,126,DAVENPORT RD NO 1,DAVENPORT RD NO 1,,Thorne Rd
513787,41.762721,-72.73903,West Hartford,2/1/19,O,O,4,Local,169,FARMINGTON AV,FARMINGTON AV,,TROUT BROOK DR
513786,41.745051,-72.716183,West Hartford,2/1/19,O,O,4,Local,284,LAYTON ST,LAYTON ST,,melvin Rd
513113,41.7793,-72.746108,West Hartford,2/1/19,O,O,4,Local,347,NORTH MAIN ST,NORTH MAIN ST,ASYLUM AV,
514013,41.779292,-72.746106,West Hartford,2/2/19,O,O,4,Local,347,NORTH MAIN ST,NORTH MAIN ST,ASYLUM AV,
514011,41.761011,-72.739485,West Hartford,2/2/19,O,O,4,Local,401,RAYMOND RD,RAYMOND RD,NEW ST,
514010,41.755757,-72.735821,West Hartford,2/2/19,O,O,4,Local,501,TROUT BROOK DR,TROUT BROOK DR,,PARK RD
514009,41.749135,-72.715397,West Hartford,2/2/19,O,O,4,Local,394,PROSPECT AV,PROSPECT AV,WESTPHAL ST,
514008,41.741921,-72.71727,West Hartford,2/2/19,A,B,4,Local,342,NEW PARK AV,NEW PARK AV,,FLATBUSH AV
514007,41.756525,-72.714929,West Hartford,2/2/19,O,O,4,Local,371,PARK RD,PARK RD,PARK ST,
516942,41.753244,-72.732981,West Hartford,2/3/19,O,O,4,Local,206,GIFFORD RD,GIFFORD RD,,Park Road
514015,41.72739,-72.74342,West Hartford,2/3/19,A,C,4,Local,459,SOUTH MAIN ST NO 1,SOUTH MAIN ST NO 1,ELMFIELD ST NO 1,
516923,41.766658,-72.748773,West Hartford,2/4/19,O,O,4,Local,518,WALDEN ST,WALDEN ST,KEENEY AV,
514017,41.769194,-72.743063,West Hartford,2/4/19,A,C,4,Local,347,NORTH MAIN ST,NORTH MAIN ST,FERN ST,
516841,41.754445,-72.736238,West Hartford,2/5/19,O,O,4,Local,371,PARK RD,PARK RD,501-N,
514018,41.749131,-72.716227,West Hartford,2/5/19,O,O,4,Local,81,CAYA AV,CAYA AV,,PROSPECT AV
518296,41.758764,-72.752733,West Hartford,2/6/19,A,B,4,Local,169,FARMINGTON AV,FARMINGTON AV,,Pleasant Street
517207,41.72748,-72.73713,West Hartford,2/6/19,A,B,4,Local,153,ELMFIELD ST NO 1,ELMFIELD ST NO 1,COLONIAL ST,
517206,41.756124,-72.729088,West Hartford,2/6/19,O,O,4,Local,395,QUAKER LANE SO,QUAKER LANE SO,,PARK RD
516924,41.769227,-72.743077,West Hartford,2/6/19,A,B,4,Local,347,NORTH MAIN ST,NORTH MAIN ST,FERN ST,
514985,41.789572,-72.751092,West Hartford,2/6/19,A,C,4,Local,170,FARMSTEAD LA,FARMSTEAD LA,,Brightview Dr
514974,41.742473,-72.718107,West Hartford,2/6/19,A,C,4,Local,185,FLATBUSH AV,FLATBUSH AV,,Ahern Street
518471,41.755462,-72.735616,West Hartford,2/7/19,A,C,4,Local,501,TROUT BROOK DR,TROUT BROOK DR,,Park Rd. 
518470,41.754678,-72.735655,West Hartford,2/7/19,O,O,4,Local,501,TROUT BROOK DR,TROUT BROOK DR,PARK RD,
518418,41.783458,-72.74664,West Hartford,2/7/19,O,O,4,Local,347,NORTH MAIN ST,NORTH MAIN ST,,Albany Ave.
518323,41.743558,-72.716041,West Hartford,2/7/19,O,O,4,Local,342,NEW PARK AV,NEW PARK AV,FOLEY ST,
518322,41.75579,-72.74784,West Hartford,2/7/19,A,C,4,Local,42,BOULEVARD,BOULEVARD,FOUR MILE RD,
